Vocabulary for 山行

Page 1
호랑이 			tiger
주지승 (住持僧)		head monk of a Buddhist temple
행자 (行者) 			layman monk engaged in performing Buddhist austerities; ascetic
공양주 (供養主)		person who gives alms to a Buddhist temple
부목 (副木)			person in a temple responsible for gathering firewood
전 (全)			whole, all, entire
식구 (食口) 			family members
혹간 (或間)			sometimes, once in a while
시절없다 (時節)		out of season
찾아들다 			visit
신도 (信徒)			believer, devotee
고시생 (考試生) 		students preparing for state exams
사시사철 (四時四-) 		all year round
어김없다 			be without exception
적막강산 (寂寞江山)	solitary rivers and mountains
다람쥐 			squirrel
꿩 				pheasant
노닐다 			stroll, wander, ramble
걸음 				steps
가구 (家口)			household
개울가 [-까]			the bank of a stream
천수답 (天水畓)		rice paddies that depend on rainfall for water
비탈밭 			fields on slopes
일구다 			cultivate, plough (land)
원고지 (原稿紙) 		manuscript paper
씨름 				wrestle
조급하다 (躁急) 		be impatient, hasty, impetuous
답답하다			feel frustration, frustrated
첩첩 (疊疊)			fold upon fold, layer upon layer
산릉/산능 (山陵) 		mountains and hills
턱 				chin/jaw
바람줄기 			a gust of wind
분분히 (紛紛-)		boisterously, rowdily, raucously
흩날리다 			be/get scattered in the air
세상사 (世上事)		affairs of the world; everyday affairs, mundane life
아득하다 			be far away (far off)
여기다 			think, hold, deem, consider, regard
생계 (生計)			livelihood, living
슬쩍 				nimbly, deftly; make short work of sth
풍광 (風光) 			scenery, scene
적시다 			drench, soak, indulge
아연 (俄然)			suddenly
티끌 				dust, mote
부질없다 			be vain, useless, futile
적절히 (適切히)		appropriately, adequately, moderately
전신 (全身)			whole body
배어들다			saturate, infuse, instill
애틋하- 			be worried, anxious, vexed, troubled; affectionate
원초적 (原初的)		primitive
향수 (香水)			fragrance; perfume
매만지다			adjust, trim, tidy

Page 3
시절 (時節) 			time, occasion, opportunity
산승 (山僧) 			Buddhist monk who lives in the mountains
염 (念)			(Buddhist) mindfulness; meditation; chanting
지상 (地上)			the earth, the world; earthly
무릉도원 (武陵桃源) 	utopia, paradise (the Peach Blossom Spring from Tao Yuanming’s (陶淵明)《도화원기》(桃花源記)
복 (福) 			good luck, fortune
띄우다 			send off, dash off (a missive)
표현 (表現) 			expression
지나치다 			be exaggerated, in excess, over-the-top
불현듯(이) 			suddenly
도회 (都會)			city, town
막연하다 (漠然)		be vague, obscure
기대감 (期待感)		feeling of expectation
결코 				by no means, assuredly [not]; never
짐승 				beast
절박하다 (切迫) 		be urgent, desperate
전설 (傳說)			myth, legend
은밀하다 (隱密)		be secret, covert
충동 (衝動)			impulse, urge
상념 (想念)			notion, idea
발로 (發露)			expression, manifestation
산령 (山靈) 			spirit of a mountain
영험스럽다 (靈驗)		be miraculous, wondrous
결코 				by no means, assuredly not
야산 (野山) 			hills
-에 지나지 않다 		be nothing but, be only, merely
짓밟다 			trample
천하다 (賤) 			be humble, lowly, ignoble
산다웁게 = 산답게 	mountain-like, like a mountain
인격화 (人格化)		impersonation, personification
산성 (山性) 			mountain’s character, personality of a mountain; ‘mountain-ness’
지 (智) 			wisdom
용 (勇) 			courage
귀 (貴) 			nobility
한목 				all at once, all at one time
맹수 (猛獸) 			beast of prey, savage beast, ferocious beast
비밀 (秘密) 			secret
황홀 (恍惚)	 		rapture, ecstasy, trance
적막 (寂寞) 			loneliness, solitude
환몽 (幻夢)			empty dream; fantasy
더하다 			be bigger or greater or more than
또한 				moreover, what’s more
몸(을) 담다 			immerse one’s body; stay
묻다 				bury
시중 (市中) 			market, marketplace
연관되다 (聯關) 		be/get connected, related to
세정 (世情) 			worldly affairs, things
예민하다 (銳敏)		be sensitive
속인 (俗人)			layman, layperson

Page 4
암흑 (暗惑)			pitch dark
바람을 쐬다 		expose oneself to the wind; take a breather, go outside
뜰 				garden, yard
문명 (文明)			civilization
승방 (僧房)			monks’ quarters
희미하다 (稀微) 		be dim, faint
촛불 				candle-light
비문명적 (非文明的)	uncivilized
캄캄하다 			be dark
생명 (生命)			life
호곡 (號哭) 			wailing
비명 (悲鳴)			scream, cry
수도 없다 (數)		be uncountable, many
무섬증 [-쯩] (症)		fear, dread
괴이하다 (怪異)		be strange, bizarre, odd
담 				wall
비다 				be empty
달리다 			dash, dart
모질다 			be tough, harsh
달음박질 			running, sprinting
멧돼지 			wild boar
좇다 				follow, run after
돌멩이 			stone, small rock
걷어차다 			give a hard kick to, kick away
돌무더기 			heap of stones
비탈 				slope, incline
거칠다 			be rough, rugged, tough
큼직하다 			be quite large, largish
호마이카상 (-床)		formica-table
숨(을) 죽이다 		hold one’s breath, check one’s breath
드물다 			be rare, uncommon
황소 				bull, ox
갈다 				plow, cultivate
주정뱅이 			drunk, drunkard
공양 (供養)			offering; praying for the dead souls (Buddhism)
연령 (年齡)			age
건장하다 (健壯) 		be sturdy, robust
체구 (體軀)			body, physique, physical constitution
형형하다 (炯炯) 		be glaring, piercing, bright and shining
홉 				a unit of measure for liquids (approx. 180 ml)
연장 (年長) 			relative seniority; sb who is relatively senior
예사 (例事)			an everyday occurrence, a usual affair; habit, way
검푸르다 			be dark blue
수줍음 			shyness, bashfulness
쑥스럽다 			be/feel embarrassed

Page 5
지꺼리(를) 하다 (=지껄이다) talk, prattle on (derogatory)
뉘엿뉘엿 			description of the sun about to set
여물 				cattle feed
저들 				those people
밭두렁 			ridge between fields
반색하다 			show great joy
술내 				smell of alcohol
달아나다 			get away, run away, retreat
돌멩이 			a single stone, a small rock
줍다 				to pick up, gather
깔다 				spread out, lay out
끼어 앉다 			sit between
강냉이 = 옥수수 		puffed corn (a Korean snack)
빚다 				brew, ferment
곡주 (穀酒) 			alcoholic beverage brewed from grains
암갈색 (暗褐色)		dark brown
강렬하다 (强烈) 		be strong, intense
입맛(을) 당기다 		increase or stimulate one’s appetite
석유통 (石油桶)		petroleum can
곧잘 				pretty well
흥건히 			enough
바람(이) 새다 		wind/air leaks out
음성 (音聲) 			voice
검정 				black color
운동화 (運動靴)		sneakers
틈새 				crack, gap; niche
삐져나오다 			protrude, stick out
때(가) 묻다 			be/get soiled, dirty
열띠다 			grow (get) excited, become heated
음성 (音聲) 			voice
까딱거리다 			budge, fidget; make back and forth movements
쉬다 				become sour, fermented
조각 				slice, piece
강술 				liquor served without any side dishes or snacks/food
대접 				Korean bowl
쉬 				easily
남정네 			menfolk
열띠다 			be/get excited
알 				one grain
곡주 (穀酒) 			alcoholic drink brewed from grain
단박에 			at once, immediately; in one go
살구꽃 			apricot blossom
분분하다 (紛紛)		be boisterous, rowdy
청청하다 (靑靑하다)	be bright green, evergreen
능선 (稜線)			ridgeline
펼치다 			spread out, extend
순청 (純靑) 			pure blue
신록 (新綠) 			fresh verdure
녹음 (綠陰) 			shade created by trees
거대하다 (巨大) 		be huge, enormous, humongous
암벽 (岩壁)			rock face
취흥 (醉興) 			merriment in intoxication

Page 6
곧이듣다 			believe one’s ears; take sb at their word
간밤 				last night
대꾸 				response, answer
팔 				arms
치켜들다 			raise, hoist
동조하다 (同調) 		follow suit, chime in with; side with, agree with
멧돼지 			wild boar
용 (龍)			dragon
코끼리 			elephant
주정뱅이 			drunkard
퍼쓱 웃다 			laugh in a 퍼쓱 kind of way (?)
어깨 				shoulders
치다 				slap, pat
사실 (事實) 			truth, facts
건너다보다 			look across at
전혀 + neg. 			not at all, never
취하다 (醉) 			get drunk
독하다 (毒) 			be strong (liquor)
곡주 (穀酒) 			alcoholic drink brewed from grain
밭일 [반닐]			farming, farm work
틈틈이 			in spare moments
냉수 (冷水) 			cold drinking water
-에 지나지 않다		be only, be merely, be nothing more than
장성한 아이 (長成)		grown up child
대처 (大處) 			city, town
내보내다 			send off, send away
제각끔 = 제각기 		each respectively, each independently
황소 				bull, ox
끌다 				pull, drag
일거리 [-꺼리] 		job, work
챙기다 			manage, take care of
산골 사람 [-꼴]		mountain folk
쉬 = 쉽게 			easily
대하다 (對)			come into contact with, encounter
절제되다 (節制)		be controlled, restrained
정연하다 (整然) 		be orderly, systematic
젊은이 			youngster, youth, lad
-에 대한 (=에 관한) 	regarding, concerning
필요 (必要)			need, necessity
이상 (以上)			over, above
호의 (好意)			good will, hospitality
관심 (關心) 			interest
내보이다 			show, display
꼿꼿하다 			be straight, upright
자세 (姿勢)			posture
견지하다 (堅持)		adhere to, stick to, maintain
참여하다 (參與) 		take part in, participate in
존재하다 (存在) 		exist
자신 (自信)			confidence
확언하다 (確言) 		assert, say with conviction, definitely say
틀림없다 			be correct, exact, without mistake
실제로 (實際로)		in reality
남기다 			left over, leave something behind
발자국 [-짜국]		foot print
똑똑히 			clearly, distinctly
쉽사리 			easily
띄다 				stand out, be seen
숨기다 			hide, conceal sth
대체로 (大體로) 		by and large, in general
운신하다 (運身)		move around
까닭 				reason
더욱 				even more so

Page 7
한평생 (-平生) 		for one’s entire life
확실히 (確實) 		clearly, definitely
승냥이 			coyote, jackal
구분하다 (區分) 		distinguish
능히 (能)			easily
실력 (實力)			ability
입이 닳도록 		until one’s mouth wears out
칭찬하다 (稱讚) 		praise, compliment
-어 마지않는다 		can never … enough; does excessively
사방 (四方)			all four directions, everywhere
몰이꾼 			chaser
늑대 				wolf
기척 				trace, hint, sign
알아내다 			find out, discover, notice
취기를 빌다 (醉氣) 	take advantage of a moment of intoxication
가난하다 			be poor, destitute
순박하다 (淳朴)		be simple, down to earth
농꾼 (農-)			farmers
발견 (發見)			discovery
횡재하다 (橫財)		come into a windfall or unexpected fortune
해방 (解放) 			liberation of Korea (from the Japanese occupation)
실제 (實際)			in reality
증명하다 (證明) 		prove
신문사 (新聞社)		newspaper company
물론 (勿論) 			of course, goes without saying
대학 (大學)			university
단체 (單體) 			group, organization
혈안(이) 되다 (血眼)	get excited, frantic, desperate
사실 (事實)			fact; in fact
금광 (金鑛) 			gold mine
떠들다 			raise a clamour, make a noise
덧붙이다 			add
가짜 (假-)			fake, sham
빛내다 			make (a thing) shine, sparkle
쳐다보다 			look at, stare at
소동 (騷動)			uproar, upheaval, commotion
확인되다 (確認) 		be/get confirmed
야단법석 (惹端法席) 	a boisterous merrymaking, fuss, commotion
이루다 			achieve, accomplish
엄청나다			be huge, enormous

Page 8
신빙성 (信憑性) 		reliability, credibility
높이다 			heighten, make higher
예전에			earlier, in the past
신문 기자 (新聞記者) 	journalist, reporter
전력 (前歷) 			past record, personal history
늘어 놓다 			dwell on, enumerate, list
당겨 앉다 			sit closer
나서다 			come forth, step forward, assert oneself
당장 (當場)			immediately, right away
때려치우다 			abandon, quit
따라나서다 			follow behind
기분 (氣分) 			mood, inclination
좇다 				follow, run after
넉넉(히) 잡다 		by a conservative/generous estimate
길목 				turn, corner; crossing in the road
지키다 			guard, watch over
무성하다 (茂盛)		be thick (forest), close grown
산길 [-낄] 			mountain path
더듬다 			grope (for), fumble (for)
농사일 (農事-) 		farming, farming duties
몰이 				chase, hunt
전해 (前-) 			previous/preceding year
일인 (日人) 			Japanese person
포수 (捕手)			hunter
X와 더불어 			along/together with X
추수 (秋收) 			autumn harvest, harvest gathering
따라잡다 			overtake, catch up to
앞서다 			go ahead of
읍내 (邑內)			in the town; town
가죽 				skin, hide (animal)
나누다 			divide, share
훤하다 			be well known, open, obvious
잡히다 			be/get caught
신바람(을) 내다 		be in exulted spirits, feel elated
찾아오다 			come looking for
약속 (約束)			promise
포수 (捕手) 			hunter
대신 (代身) 			instead of
사진 기자 (寫眞記者) 	photographer
데리고 오다 		take along, come accompanied by, bring someone
수다 				chattiness, garrulity, chatting
눈빛 [-삗]			spark / glare in the eyes

Page 9
남빛 (藍) [-삗][		navy blue
준령 (峻嶺)			steep mountain pass
창창하다 (蒼蒼) 		be thick (forest)
숲 				forest
거듭 				repeatedly
발하다 (發) 			radiate, emit, give forth (light)
고함 (高喊) 			shout, yell, howl
쫓기다 			be/get chased
치닫다 			run forward (with great force/speed)
모습 				shape, form, appearance
순간 (瞬間)			moment, instant
떠올리다 			conjure up, bring to mind
분명하다 (分明) 		be clear, distinct, obvious, apparent
잊다 				forget
갑 (匣) 			pack; packet; counter for cigarette packs
피우다 			smoke (cigarettes, cigars)
번역일 [-닐] (飜譯) 		translation work
의사 (意思)			mind, intention
하등 (何等) + neg. 		not at all, not in any way
상관없다 (相關) 		have no connection/no relation
원고 (原稿)			manuscript
뭉치 				bundle
출판사 (出版社)		publishing company
넘기다 			pass on to, hand over
치다 				calculate, reckon; assign a value to
고료 (稿料)	 		manuscript fee
넉넉하다 			be plentiful, ample, enough
자태 (姿態) 			appearance, pose
꿈결 [–껼] 			dream
전신 (全身)			the whole body, the whole frame, one’s entire being
흥건히 			to be full of water, to have too much liquid
적시다 			drench, soak, wet to the full
육교 (陸橋) 			pedestrian overpass
오르다 			ascend, climb
시달리다 			be harried by; suffer, undergo hardship
행인 (行人) 			passerby, pedestrian
어깨 				shoulder
부딪치다 			collide with
가파르다 			be precipitous, steep
봉우리 			peak, summit
숲 				forest
골 				valley
토막 				counter for pieces or chunks
장면 (場面) 			scene, setting
훤하다 			be bright, clear
골짜기 			gully, dale, ravine, valley
그리다 			miss, imagine, conjure up
달리다 			run, dash
황금빛 [-삗] (黃金) 		gold; pure gold
털 				hair; fur
검정 				black
무늬 				pattern
뻣뻣하다 			be hard, stiff, coarse
수염 (鬚髥) 			beard, whiskers
송곳				gimlet, awl, ice pick
날카롭다 			be sharp
이빨 				tooth, teeth
발톱 				(animal) claws
야성 (野性) 			wild, untamed
산짐승 			wild beast living in the mountains
성큼 				with big, long strides; briskly (description of striding)
개울 				rivulet, stream, brook
녹다 				melt
사이 				space, interval
내달리다 			run forward (with great force / speed)
힘(이) 차다 			be energetic
내보이다 			show, display
누르다 			press
위엄 (威嚴) 			dignity, majesty
절조 (節操)			integrity, honor
지니다 			possess, hold, have
신령하다 (神靈) 		be divine
벼랑 				cliff
폭포 (瀑布)			waterfall
폭풍우 (暴風雨) 		tempest, rainstorm
강설 (强雪) 			heavy snowfall
늑대 				wolf
삵괭이 			lynx
두려움 			fear, dread
자유 (自由)			freedom, liberty
세계 (世界)			world
자연 (自然) 			nature

Page 10
안식 (安息)			rest, repose
지혜롭다 (智慧) 		be wise
용맹스럽다 (勇猛) 		be lion-hearted, intrepid, brave
바깥 				outer, outside
세상 (世上)			world
드러나다 			be exposed
상징적 (象徵的) 		symbolic
존재 (存在)			being, entity
구체적 (具體的)		concrete, tangible
현실적 (現實的)		realistic
속박(을) 받다 (束縛) 	be subject to restraints
속되다 (俗) 			be vulgar, base, common
욕망 (慾望) 			desire
흡족 (洽足) 			satisfaction
만인 (萬人)			all people
공유하다 (共有)		have something in common, share
환상 (幻想)			fantasy, illusion
실제화 시키다 (實際化) 	make actual, real; materialize
계획 (計劃) 			plan
찬동 (贊同)			approval, agreement
드물다 			be rare, scarce, few
대부분 (大部分)		mostly, generally
산세 (山勢)			physical aspects of a mountain
곧이듣다 			take a person at their word, believe
인격화 [-껵] (人格化)	impersonation, personification
찬성하다 (贊成)		approve, assent
더더욱 			moreover, furthermore
사납다 			be rough, wild
철창에 갇히다 (鐵窓) 	be trapped in an iron cage
관람 (觀覽) 			sightseeing, viewing
-용 (用) 			for the purpose of; for the use of
학자 (學者)			scholar
주장 (主張)			claim, contention
기사 (記事)			report
전적으로 [-쩍] (全的으로)	totally, completely, absolutely
신봉하다 (信俸)		worship, believe strongly
직감 (直感)			intuition
희망적 (希望的)		hopeful
매도 (罵倒)			condemnation, denouncement
답답하다 			be stifling, suffocating
맘= 마음 			heart, state of mind
더하다 			add to; be more than
빌리다 			borrow
직접 (直接) 			directly, firsthand
거짓말 			lies
애(를_ 쓰다 			make an effort, try hard
늘어놓다 			enumerate, list, carry on about
결과 (結果)			result, outcome
마찬가지다 			be all the same
행운 (幸運)			good luck
속하다 (屬)			belong to, appertain to
미심쩍다			be doubtful, questionable
호기심 (好奇心)		curiosity
역설하다 (力說) 		urge, emphatically assert
카메라 맨 			camera man
잡지사 (雜誌社)		magazine publisher
패션모델 			fashion model
씨름하다 			wrestle with
직업 (職業) 			job, occupation, career
남다르다 			be different, unique
욕심 (慾心)			greed, desire, ambition
역사적 (歷史的)		historical
인물 (人物)			figure, character, personage
끊임없다 			be ceaseless, constant, endless
충돌질 (衝動-) 		nudging, pestering, act of provocation (derogatory)
마침내 			finally, at last
결심 (結審)			determination

Page 11
집안 				inside the home, family
여행 (旅行)			travel, trip
목적 (目的)			goal, aim
열차 (列車)			train
차간/찻간 [-깐] (車間)	(train) compartment
몰고오다 			drive home, cause
충격 (衝擊)			shock
상상하다 (想像)		imagine
지치다 			be exhausted
떠들어대다 			blab on about, chatter on about
남녘 				south; southern district
단풍 (丹楓)			red leaves, leaves changing color
철 				season
맞이하다 			meet, receive, greet, welcome
무성하다 (茂盛)		be exuberant, thick, close-grown, luxuriant
계곡 (溪谷)			valley, ravine
고엽 (枯葉)			(old) fallen leaves
뒤덮이다 			be covered with
윤곽 (輪廓)			profile, contour
날카롭다 			be sharp
반면 (反面)			on the other hand
여위다 			get thin, emaciated
가슴팍 			flat part of the chest (somewhat derogatory)
풍성하다 (豊盛) 		be abundant, plenteous
한결 				conspicuously, much more, all the more, especially
가시다 			disappear
이 				person; one who…
여전히 (如前-) 		as always, as ever, as before, as usual
팔다리 			limbs; arms and legs
제각기 			each, respectively
음성 (音聲) 			voice
한층 				(even) more, still, much more
세다 				be strong
바람소리 			sound of the wind
배다 				saturate
얼른 				quickly
알아보다 			recognize
기억 (記憶) 			memory
더듬다 			to grope for, feel for, fumble
헤프게 			flippantly
웃음을 터뜨리다 		burst out laughing
가리키다 			point at, point out
곧이듣다 			take a person at their word
눈치 				hint, sign, indication
대꾸 				response, reply
엉뚱하다 			be preposterous, fantastic
수상쩍다 (殊常-) 		be suspicious, doubtful
바라보다 			stare at, gaze at, look off at
상대하다 (相對)		confront, fight, face off against; face each other
골목길 			alley, side-street lane
귓속말 			whisper
벌리다 			stretch, spread out

Page 12
소리(를) 치다 		shout, yell
언성을 높이다 (言聲) 	raise one’s voice
풀(이) 죽다 			become discouraged, depressed
앞뒤 모를 소리 		incomprehensible words (lit.: words one’s can’t made heads or tails of)
병치레(를) 하다 (病-)	suffer from a bout of illness disease
기운 (氣運)			energy, strength
모습 				shape, form, appearance
능히 (能-) 	 		easily
파싹 늙다 			get old suddenly
전같다 (前-)			like before, as before
탄탄하다 			be strong, solid, firm
피부색 (皮膚色)		skin complexion
병색 (病色)			tint of disease
완연하다 (宛然)		be obvious, apparent
형형하다 (炯炯) 		be glaring, piercing, penetrating
쉬 				easily
알아채다 			notice, sense, become aware of
여간 + neg. (如干)		very, extremely
기색 (氣色)			looks, countenance, appearance
대하다 (對)			face, confront
불안감 (不安感) 		sense of uneasiness
이내 				immediately
떨치다 			get rid of, shake off
사나흘 			3-4 days
발자국 –[짜국]		footprint
똑똑히 			clearly
나흘 				four days
좇다 				follow, run after, chase
대번에 			at once, immediately
재빠르다 			be quick, nimble, agile
뱉다				spit
덩달아 			following suit, in sympathy
거들다 			lend a helping hand, assist
스스로 			oneself, by oneself
무척 				very much, quite
틈틈이			in spare moments
살피다			see, watch, observe
당장 (當場)			immediately, right away

Page 13
안색 (顔色)			complexion
불안스럽다 (不安-)		feel uneasy
실제 인물 (實際 人物)	real characters, existing people
낙담(을) 하다 (落膽)	feel despondent, depressed, discouraged
신명을 내다 (神明) 	get excited, enraptured, enthusiastic
염려(를) 하다 (念慮)	worry, fret
산길 [-낄] 			mountain pass
백리 100 li (百里)		(li = measurement of distance)
나절 				length of a day (한나절 = 1/2 a day; 반나절 = 1/4 of a day)
달리다 			run
훨훨 날아다니다 		fly
이래뵈도 (이렇게 보여도)	though I may not look like much…
산중서 = 산중에서 (山中)	in the middle of a mountain
뼈골이 굳다 		become an expert (lit.: one’s bones harden)
보름 				15 days
끄떡이 없다 		be safe and sound, no problem, unchanged
대강 (大綱)			roughly
추적 (追跡)			chase, pursuit
일정 (日程)			schedule
감행하다 (敢行) 		take action against all odds; dare, venture
몰이꾼 			chaser
끼워 주다 			include, count in
어울리다			hang out with, accompany, get together
일으키다 			raise, lift
꿈길 [-낄] 			the events that take place in a dream
영물 (靈物)			spiritual being
훤하다 			be clear, obvious
뵈다 =보이다 		be/get seen
일체 + neg. (一體)		not (VERB) at all
갑작스레 			suddenly, unexpectedly
애초부터 (-初)		from the start, from the outset
해대다 			repeat saying ...
혼령 (魂靈) 			spirit
씌다 				be/get possessed by a spirit / ghost
추수하다 (秋收)		harvest, reap the harvest
챙기다 			gather all together; collect; tidy up
야간 (夜間)			nighttime
도주하다 (逃走)		escape, run off
마(가) 끼다 (魔) 		evil spirits assault sb/sth
거푸 				repeatedly, again and again
달아나다 			run off, escape
충격을 받다 (衝擊)		be/get shocked
반기다 			welcome sb
나이짝 			a peer; partner of the same age group
맞잖다 (맞지않다) 		be unfit, ill-matched
마누라 			wife
두다 				have, keep, place
꼴 				situation, appearance (derogatory)
당연하다 (當然-) 		be a matter of course
섭섭하다 			regret, lament
기운 (氣運)			power, strength, energy, vitality

Page 14
얻다 				acquire, get
아낙 				wife
읍내 (邑內) 			town
술장사 [-짱사] 		liquor business
과부 (寡婦)			widow
산골 [-꼴] (山)		mountainous district, secluded place
끌어올리다 			drag up
해 				year
견디다 			stand, bear suffer patiently
도망(을) 치다 (逃亡) 	take off, run away, escape
부자 (富者)			wealthy person
퀭하다 			be hollow
쳐다보다 			stare, look at
물론 (勿論) 			of course
열정 (熱情)			ardor, fervor, passion
맥없다 (脈-)			be weak, feeble, feel tired
스러지다 			collapse
변모 (變貌)	 		change, transition
탈진하다 (脫盡) 		be worn out, exhausted
예감(을) 키우다 (豫感) 	have/entertain a premonition
저래 = 저렇게 		like that
설치다 			make a fuss; be unsettled
목돈을 만지다 		make a good sum of money
지키다 			keep (one’s promise)
시원스레 			without reserve; cleanly
일행 (一行)			group of people traveling together
새벽 				dawn
앞장(을) 서다 		take the lead
뒤처지다 			fall behind, lag
따르다			follow
상상하다 (想像)		imagine
걸음걸이 [-꺼리]		step, stride
날래다 			be quick, fast, swift
야영 (野營)			camping
도구 (道具)			tools, equipment
지다 				bear, carry on one’s back
운신 (運身)			moving one’s body, movement
안개 				fog
산봉우리 [-뽕] (山-) 	mountain peak
가리다 			hide, cover, obscure
계곡 (溪谷)			valley, ravine
채우다 			fill
무릎 				knees
차오르다 			overflow
낙엽 (落葉)			fallen leaves

Page 15
요란스럽다 (搖亂-) 		be noisy, boisterous
서걱거리다			rustle
선녀탕 (仙女湯) 		Heavenly Nymphs’ Pond
사석대 (斜石臺) 		name of a place (platform) in the mountain
비탈길 [-낄] 			slope, incline
-로 인해 (因) 		on account of, due to, because of
시계 (視界)			field of vision
트이다 			be/get cleared, opened up
입을 열다 			speak, talk (lit.: open one’s mouth)
짙다 				be thick, dense (fog)
날래다 			be quick, swift, nimble
긴장 (緊張)			tension
자세 (恣勢)			stance; posture; attitude
조심스럽다 (操心-)		be cautious, careful
몸놀림 			body movements
역력하다 (歷歷)		be clear, vivid, obvious, apparent
지팡이 			walking stick, cane
헤치다 			clear away, make one’s way through
멧돼지 			wild boar
어귀 				entrance
자빠지다 			tumble backwards
노목 (老木)			old tree
등걸 				tree stump
잠시 (暫時)			momentarily, for a moment
숨(을) 돌리다 		catch one’s breath
망원경 (望遠鏡)		binoculars
렌즈 				lens
부착하다 (附着) 		attach, stick, add
넉넉하다 			be magnanimous, generous, open-minded
산삼 (山蔘)			mountain ginsaeng, wild ginseng
낮게 				low, softly
중얼거리다 			mumble, murmur
운무 (雲霧)			cloud and mist
쓸려다니다 			be/get swept along
능선 (稜線)			ridge
공갈 (恐喝)			blackmail, threat
부인 (否認)			deny, negate, declaim, disavow
잘라 말하다 		say with conviction, assert positively
고개를 끄덕이다 		nod one’s head
한나절 			half a day
