,korean,pattern,gloss,here
49,숲에서 들려오는 ,-어 오다 ,gradually (comes in doing); comes up (along); starts (has started) becoming / doing; has/had been doing.,…the [sounds] approaching from the forest…
50,무섬증을 느낄 만한 괴이한 소리 ,-(으)ㄹ 만하다 ,"sufficient (to do); is well worth (doing); is at the point (of doing), has reached the stage (when it can do).",…sounds eerie enough to instill fear…
51,그들이 서로를 부르고 대답한다.,서로를,each other. Nice example of 서로 + 를.,…they call for and answer each other.
52,산짐승이 숲을 나와 ,–어(서),Naked infinitive -어(서).,"The mountain beasts come out of the forest, and…"
53,담 너머 빈 들을 달린다. ,너머(로) ,"beyond, over, the other side (of something tall / high); over = more than, in excess of; beyond.",…cross over the walls and frolic in the empty field.
54,마치 내 방 앞을 달리는 듯한,마치... –는 듯하다,"like, as, giving the appearance of ...; appearing (to be), looking (like); seeming as if; as if/though. Adverb 마치 signals that a 듯(이 ) or 처럼 is coming up.",…just as if they were running around outside my window…
55,달음박질 소리를 들으며 나는,-(으)며,"for -(으)면서 while, at the same time, (doing) simultaneously.","…listening to the sounds of their pattering feet, I…"
56,그 거칠고 큼직한 발자국 소리 ,-(으)ㅁ직 하다 ,"it is/seems likely to be / do), it is possible/acceptable to (do), it is all right to (do); it is acceptably (rather/somewhat/quite…; it is worth doing = (-(으)ㄹ만 하다).","…the sounds of their rough, well-sized footsteps…"
57,들릴 때면 ,-(으)ㄹ 때면,whenever….every time…,…whenever I heard…
58,내 방 호마이카상 위에 켜진 촛불마저도 ,마저(도),going to the extreme/limit of; (including) even; including (even the extreme case of); also (on top of everything/everyone else); with all the rest. Adding 도 reinforces the ‘even’.,Even the candle light on top of the formaica table in my room…
59,숨죽여 가늘게 떨린다. ,-어(서),Naked infinitive -어(서).,…die out and flutter thinly.
60,드물지 않게 ,-게,"(in a way) so that, so that it is or does; so that one can; in a manner such that;-ly.",…almost without exception…
61,주정뱅이 하 씨까지 데리고 ,까지,"even, so far as (extent, emphasis); up to and including.",…went as far as taking Mr. Ha the drunkard along…
62,연령답잖게 ,-답잖게,from -답지 않게 in a manner unbecoming of / unfitting for… ,"[on top of a sturdy physique] not typical for his age,…"
63,연령답잖게 건장한 체구에다 ,에다(가),"on top of, in addition to, thrown into the bargain (에 + copula transferentive -(이)다(가)).","…on top of a sturdy physique not typical for his age,…"
64,손끝 하나 움직이질 못한다는 하 씨는 ,-지(를) 않다,shows dissatisfaction with or displeasure at the negated processive verb.,"Mr. Ha, who couldn’t budge a finger.."
65,겨우 마흔을 넘겼는데도 ,-었는데도,"given the circumstance that it is/does, even though, though. Can usually be taken as an abbreviation of -었는데도 불구하고 in spite of the fact that did….",…despite of the fact that he was barely past forty…
66,더 할 수 없는 수줍음 ,-(으)ㅁ,the act (or fact) of having / being.,a shyness beyond measure
67,밭두렁에 앉아 ,-어(서).,Naked infinitive -어(서).,….sat on the ridge between the paddies…
68,산책 삼아 밭에 나섰는데 ,NOUN삼아(서),"by way of, for, for the sake of, as NOUN. From 삼다 to make something of (a person or a thing).",…came out to the fields in order to take a walk…
69,반색을 하며 나를 불렀다. ,-(으)며,"for -(으)면서 while, at the same time, (doing) simultaneously.","…showing great joy, they called out to me."
70,함께 마시자는 양씨 ,-자는,from -자[고 하]는 saying/suggesting ‘let’s …’.,"Mr. Yang, who invited me along for a drink…"
71,하도 오랜만에 ,하도,"so very much indeed, ever so (hard).",… it had indeed been such a long time since…
72,술내음이라,-(이)라(서),"Naked copular infinitive, alternate form for –이어(서) .",…because it was [such a long time since I had tasted] alcohol…
73,돌멩이 하나를 주워 ,-어(서),Naked infinitive (주워(서) ← 줍다/줏더).,I picked up a stone…
74,강냉이로만 빚은 순곡주 ,-(으)로만,"only of….only from…only to…, by means of only…",…a pure drink brewed only of corn…
75,가득 채워 나왔는데 ,-어(서),Naked infinitive -어(서),"…filled up to the top, but…"
76,바닥이 비어 간다며 ,-어 가다,"gradually (goes on doing); keeps growing (getting to be, becoming). Note also -(으)ㄴ다며 for -(으)ㄴ다[고 하]며 = -(으)ㄴ다[고 하]면서 ",…gradually emptying out…
77,내게 강냉이술이 얼마나 몸에 좋은가를 설명했다.,-(으)ㄴ가(를) 설명한다,explains about how…,He explained to me how good corn brew is for one’s health.
78,그의 열띤 음성 따라,NOUN 따라(서),"in accordance with, in conformity to (with), according to.",…in conformity with his excited voice…
79,바쁘게 까딱거려지고 있었다. ,-어 지다,"Besides meaning gets to be or becomes with adjectives, -어 지다 can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…were fidgeting busily.
80,쉰 김치 조각조차 없는 깡술판 ,조차(도),"even, too, to boot, in addition, into the bargain.",…a drinking table without even a piece of sour kimchi…
81,나는 그들이 권하는 대로,-는 대로,"as, just as, just as it is (was); in accordance with.",…just as they told me…
82,술 맛이 그렇게 달고 부드러울 수가 없었다,그렇게 ... -(으)ㄹ 수가 없다,"This pattern is similar in effect to the pattern 여간 + NEGATIVE (or implied negative) meaning very; not a little, to no small extent, quite, extremely, terribly.",The drink was extremely sweet and smooth.
83,남정네를,네,"the group, all of…This makes an explicit plural for nouns referring to people; it is also used in combination with the synonyms 들 and 끼리: 우리, 우리네, 우리들, 우리네들, 우리들네 we/us. ",…just like [a woman] causing the menfolk to get excited…
84,열띠게 하듯 ,–듯(이),"does like, does as (if) with -듯(이) attached directly to the verb stem. Martin treats this as an abbreviation of the pattern where 듯 is used as a post-modifier, i.e. -(으)ㄴ 듯, -(으)ㄹ 듯, -는 듯; but in any case you should keep them distinct.",…just like [a woman] causing the menfolk to get excited…
85,설탕 한 알 들지 않았다는 곡주 ,-았다는,for -았다[고 하]는.,"The brew, which they said did not contain even a single grain of sugar…"
86,불타듯 뜨거워진 몸 ,-듯(이),"does like, does as (if) with -듯(이) attached directly to the verb stem. Martin treats this as an abbreviation of the pattern where 듯 is used as a post-modifier, i.e. -(으)ㄴ 듯, -(으)ㄹ 듯, -는 듯; but in any case you should keep them distinct.","The body, heating up as if on fire…"
87,어찌 그리 아름답던지. ,어찌… -던지(요),"It was so … (as I recall)!! I.e., oblique question in 지 on a retrospective modifier in –던.",…how beautiful!
88,능선 위에 펼쳐진 순청의 하늘 ,-어 지다,"The pattern in infinitive -어 + 지다, besides meaning gets to be or becomes with adjectives, can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…the pure blue sky spread over the mountain ridge…
89,어느 것 하나 나 혼자 보기 아깝지 않은 게 없었다. ,-기 아깝다,it is a shame to…it is a pity to…,…it was a shame to see it all by myself.
90,여자애가 바로 옆에 앉아 있기만 하다면 ,-기만 하면,"if one only does/is or were to do/be. With -다면, more hypothetical than plain -(으)면.",…if only I had a sweetheart sitting right across from me…
91,울음 울만한 그런 취홍 ,-(으)ㄹ만 하다,"is sufficient (to do), is well worth (doing); is at the point (of doing), has reached the stage (when one can do). Note also the ‘cognate object’ pattern in 을음 울다. Cf. 잠(을)자-, 춤(을) 추-, 꿈(을) 꾸-.",…an intoxication that is worthy of a good cry…
92,호랑이도 있단 말입니다. ,-단 말야,"말이야, 말입니다, etc. can follow a QUOTE + verb of saying + modifier as a kind of post-modifier, and means it is to say = I mean, you know, you see, uh, that is, etc.","…there is also a tiger, I tell you."
93,짐승의 발소리를 들었다는 내 얘기 ,–었다는,for -었다[고 하]는.,…my story of/about hearing the footsteps of a tiger…
94,용도 있고 코끼리도 있다는 걸. ,-는 걸(요),"ends a sentence with the meaning 'indeed', or 'despite contrary anticipations/reservations'.","(contrary to what you might believe), they say there are dragons and elephants too!"
95,양씨가 퍼쓱 웃으며 ,-(으)며,"abbreviated version of -(으)면서 while, at the same time, (doing) simultaneously.","…Mr. Yang, letting out a short laugh…"
96,사람아,아/야,plain/intimate style vocative: Hey! Say! Oh!,Hey!...
97,냉수에 지나지 않는 듯했다. ,NOUN에 지나지 않는다,"is nothing but, is only, merely, is nothing more than a…",…[the booze seemed to be] no more than a drink of cold water [to him].
98,아이들을 대처로 내보내 ,-어(서),Naked infinitive -어(서).,…sending the children away to the big city…
99,혼자서 황소를 끌고 다니며 ,-(으)며,"short version of -(으)면서 while, at the same time, (doing) simultaneously.",…going from place to place alone dragging his cow with him…
100,필요 이상의 호의 ,NOUN 이상,"1. more than, above and beyond, over, upward of NOUN. 2. beyond, past, more than NOUN; further than NOUN. 3. since, now that, seeing that. 3. that is all, that is the end.",…no more than the basic show of goodwill…
101,관심을 내보이지 않은 채 ,-(으)ㄴ 채,"just as it is or did, (in) the original state of…",…(in a state of) not showing any particular interest…
102,내 관심의 세계에 참여해 왔다. ,-어 오다,gradually (comes in doing); comes up (along); starts (has started) becoming / doing; has/had been doing.,lit. he slowly began to participate in my world of interests. (He began to fascinate me).
103,호랑이가 존재하느냐의 나의 질문 ,–느냐의 질문.,The question as to whether…,…My question as to whether or not a tiger exists…
104,필요 이상의 자신 ,NOUN 이상,"1. more than, above and beyond, over, upward of NOUN. 2. beyond, past, more than NOUN; further than NOUN. 3. since, now that, seeing that. 3. that is all, that is the end.",…a confidence no more than what is necessary…
105,발자국을 내 눈으로 똑똑히 봤거든. ,-거든(요),"(exclamatory) sure(ly), indeed, quite. Used to offer a kind of follow-up explanation to what has just been said (or implied). Also functions as a sort of politeness strategy to keep conversations moving by inviting a response (notice that it usually has a rising, question-like intonation).",I did see [the tiger’s] footprints clearly with my very own eyes.
106,쉽사리 사람 눈에 띄질 않습니다. ,-지를 않는다,"The addition of 를 to -지 in the long form negation pattern is thought to add emphasis, insistence or a hint of frustration.",…they don’t appear easily to human eyes.
107,몸을 숨긴 채 ,-(으)ㄴ 채,"just as it is or did, (in) the original state of…",…always kept hidden…
108,밤중에 운신하는 까닭에,-는 까닭에,because of …ing.,…because they move around only in the deep of night…
109,한평생 산 속에서만 살았으므로,-(으)므로(서),"although the Korean spelling somewhat obscures the origin, this is a substantive in -(으)ㅁ + instrumental (으)로(서) , and means with (as, etc.) the doing or being; since (because of) the doing or being.",…because he lived in the mountains his whole life…
110,구분할 수 있을 뿐만 아니라,-(으)ㄹ 뿐(만)아니라,"not only..., but (also)...; furthermore; as well as; besides, in addition, on top of that.",…not only could he tell the different between…but…
111,입이 닳도록 ,-도록,"projective: to the point where, until (a result); so that.",…speaking to the point of wearing out one’s mouth; speaking profusely…
112,칭찬해 마지않았다.,-어 마지 않는다,does something to no end; does something ceaselessly/endlessly.,praised him ceaselessly.
113,우리 양씨 어른이야말로 ,NOUN(이)야말로,it is indeed/precisely NOUN that…,"…Our Mr. Yang, he is indeed…"
114,알아 주는 몰이꾼이구 말구요. ,–고 말고(요),"of course, certainly, surely is/does.",…is certainly the most recognized hunter…
115,잠 자다가도 ,–다가도,"even while, even in the midst of …ing (transferentive -다가 indicating a change or shift of action or state plus particle 도).",…even while he sleeps…
116,나는 취기를 빌어 ,NOUN(을) 빌어서,"invoking NOUN, relying on, appealing to…",…appealing to my enebriation…
117,얼마나 큰 일이고 횡재할 일인가를 설명해 주었다. ,WH… -(이)ㄴ가를 설명하다,"to explain about WH-…, to go on about WH-…",…I explained what a big deal it is and what an unexpected fortune.
118,서울의 큰 신문사는 물론이고 ,NOUN은 물론이고,"not to mention NOUN; also NOUN, to be sure.","…not to mention the big newspapers in Seoul, but also…"
119,호랑이를 발견하려고 혈안이 돼있다 ,-(으)려고 혈안이 된다,is frantic trying to…,…there is a craze of attempting to discover tigers…
120,호랑이만 찾을 수 있다면 ,NOUN만 …-(으)면,if only… More hypothetical than plain -(으)면.,If only you could find a tiger…
121,눈을 빛내며 나를 쳐다봤다. ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.","…eyes twinkling, he stared at me."
122,가짜 호랑이 소동조차 ,조차(도),"even, too, to boot, in addition, into the bargain.",…even the uproar concerning the fake tiger…
123,알고 있질 못했다. ,-지를 못한다,"The addition of 를 to -지 in the long negation patterns is thought to add emphasis, insistence or a hint of frustration to.",…he had no way of knowing.
124,사실이구 말구요.,-고 말고(요),"of course, certainly, sure (here on copula -이-).",Of course it’s the truth.
125,호랑이가 있다는 사실만 확인되면 ,NOUN만 …-(으)면,if only… More hypothetical than plain -(으)면.,…if only the fact that there is a tiger is confirmed…
126,지금 당장이라도 ,-(이)라도,"(1) even if (it be); (2) just, (or the ) like ( = 이나 ); or even; any, some.",…even it were right here and now…
127,나서고 말구요.,-고 말고(요),"of course, certainly, sure.",…I’ll certainly come forward.
128,그가 나서자면 ,-자면,For -자[고 하]면 if one suggests…,"…had he said “let’s go for it”,…"
129,나는 번역이고 뭐고 다 때려치우고,NOUN이고... 뭐고 [간에],"you can say what you like about NOUN and stuff, but...; NOUN, schmoun…",....I’d drop the translation and everything and…
130,따라나설 기분이었다. ,-(으)ㄹ 기분이다,"it was a… mood, in the mood to…, feel like …ing.",…I was in the mood to follow him.
131,산길을 더듬을 수 없을 뿐만 아니라 ,-(으)ㄹ 뿐(만)아니라,"not only..., but (also)...; furthermore; as well as; besides, in addition, on top of that.","…not only was it impossible to grope through the mountain pass, but..."
132,일인(日人) 포수와 더불어 ,NOUN과/와 더불어,"together with NOUN, along with NOUN.",…together with a Japanese hunter…
133,이틀 만에 호랑이를 따라잡았다고 했다. ,DURATION + 만에,"after only (marks passage of time); within, after a passage of…","…he said that after only two days, he followed and caught a tiger."
134,호랑이 길을 찾아내곤 ,-곤,"For -고는. Placing the 는 after -고 in -고는 forces the “and [then]...” reading of -고, as opposed to the “and [also]…” reading. In other words, it means “when..., ...then; upon doing,” but emphasizing the consequence.","…When I found the tiger’s tracks, then…"
135,양 씨가 거듭 내게 말했다. ,내게,abbreviation for 나에게.,"Mr. Yang said, again and again."
136,고함 소리에 쫓겨 ,에,"To mark the (inanimate) agent of a passive. I.e., 에 marks the ‘by’-phrase in a passive construction.",….chased by hunting howls…
137,그 순간 그가 떠올리고 있었음이 분명했다. ,-(으)ㅁ이 분명하다,it is clear that….it is obvious that…,"…at that moment, it was clear that he was conjuring up [the image]."
138,원고지 한 장에 천 원도 치어지지 않는 고료,-어 진다,"The pattern in infinitive -어 + 지다, besides meaning gets to be or becomes with adjectives, can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…a fee which came to no more than one thousand won a page…
139,내 전신을 흥건히 적셔 왔던 것이다.,-어 오다,gradually (comes in doing); comes up (along); starts (has started) becoming/doing; has/had been doing. ,…my entire body was gradually being drowned.
140,숲과 골을 떠올리곤 했던 것이다. ,-곤 한다,abbreviated from -고는 하다: makes a habit/regular practice (a regular thing) of doing it; does it from time to time.,…I kept on conjuring up mountains and valleys.
141,몸을 숨기며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…hiding itself…
142,어느 누구에게도 제 모습을 내보이지 않으면서도 ,어느 누구에게도,"to anyone, to any which person.",…while not showing itself to anyone…
143,그의 두려움일 수는 없었다. ,-(으)ㄹ 수는 없다,cannot be NOUN... is not possible that it is NOUN.,…lit. could not be his fear (he feared none of those).
144,그것이 그의 가장 큰 두려움일 뿐이었다. ,-(으)ㄹ뿐이다,"is nothing but, only, constantly; all it/one does/is is…",…that was his only main fear.
145,흡족치 아니하고 ,치 아니하다,abbreviated from 하지 아니하다 is not; does not…,"…is not sufficient, and…"
146,나의 환상을 실제화 시키고자 하는 욕망이었다.,-고자 한다,wants to; is ready/prepared/willing to; intends to.,…it was my thirst to make my illusion a reality.
147,운흥산의 산세를 알고 있는 친구조차 ,조차(도),"even, too, to boot, in addition, into the bargain.",…even those friends who knew what Unhong mountain looked like…
148,남쪽에 있는 큰 산 하나에 지나지 않았다. ,NOUN에 지나지 않는다,"is nothing more than NOUN, is only NOUN, merely NOUN.",…it was nothing but another big mountain in the south.
149,호랑이에 대해선 관심조차도 가지질 않았다. ,-지를 않는다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern. Note also particle 조차(도) even, too, to boot, in addition, into the bargain.",…they couldn’t even muster up interest in the tiger.
150,관람용 호랑이 생각에서 더 이상 나아가질 않았다. ,-지를 않는다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern. ",…they did not go past their impression of the tiger as an exhibit…
151,기사를 전적으로 신봉했을 뿐,-었을 뿐(이다),"did nothing but, only, constantly did; all it/one did is… ",…they only thoroughly believed the reports…
152,답답한 맘이 더해 ,-어(서),Naked infinitive. Note also 맘 for 마음.,My frustration getting worse…
153,양씨의 말을 빌리는 대신 ,-는 대신,"instead of...-ing, in place/lieu of…-ing; while on the one hand…",…instead of borrowing Mr. Yang’s words…
154,K는 미심쩍어하면서도,-어 한다,"Used with descriptive verbs that refer to human feelings (liking, fearing, reacting to,...) when the experiencer is a third person.",…even though K was doubtful…
155,호기심만은 숨기질 않았다. ,만은,"만 with 은 denoting contrast. Note also negative preemphasis in -지를 않았다. The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern.",…only his curiosity was not hidden.
156,네가 호랑이를 찍기만 한다면 ,-기만 하면,"no sooner does it/one do or be, than…; all one/it has to do or be is… (and then some result). Note that -다면 is more hypothetical than plain -(으)면.",…if only you take a picture of the tiger…
157,역사적인 인물이 되고 만다는 ,-고 말다,"to show final development of an action: ends up doing, finally does, gets around to doing, ultimately does.",…[to the effect that one] will end up becoming an historical figure…
158,나의 끊임없는 충돌질 ,-질,"the act of (doing), …ing (sometimes pejorative).",…my incessant pestering…
159,집안에까지도 여행 목적을 숨기고 ,에까지도,"up to, to plus particle 도 even (renders the delimiter 까지 even more emphatic).",[Mr. K and myself] hid out travel plans even from our very homes (families)…
160,지치지도 않고 ,-지도 않는다,doesn’t even… ,…[imagining the shock] we didn’t even get tired and pressed on noisily.
161,떠들어댔다. ,-어 댄다,"(does) terribly, awfully, a lot, like mad/anything (gives iterative and/or emphatic force to a preceding verb infinitive).",…[imagining the shock] we didn’t even get tired and pressed on noisily.
162,남녘인데도 ,-(으)ㄴ데도,"given the circumstance that it is, even though, though it is. This pattern can usually be taken as an abbreviation of -는데도 불구하고 in spite of the fact that.",In spite of the fact that it was southerly…
163,가을은 우리가 떠나온 곳보다 더욱 깊어 있었다.,-어 있다,"is in the state of resulting from, is done.",Autumn was much deeper than the place we had left.
164,떨어진 고엽에 뒤덮여 있었다. ,-어 있다,"is in the state of resulting from, is done Here on 뒤덮이- be / get covered.",…it was covered by the fallen leaves.
165,산의 윤곽이 더욱 날카로와진 반면 ,-(으)ㄴ 반면,whereas on the one hand…,"…whereas on the one hand, the mountain’s features were even more sharp…"
166,풍성하던 맛은 한결 가셔 있었다. ,-어 있다,"resultant state: is in the state of resulting from, is done.",…the taste of abundance was even more rinsed away.
167,먼저 만난 이는 하 씨였다. ,이,"quasi-free noun and postmodifier 이 a person, a man; one; a thing.",…the first person I met was Mr. Ha.
168,여전히 술에 취해 있었다. ,-어 있다,"resultant state: is in the state of resulting from, is done.","…as usual, he was in a state of drunkenness."
169,한참 동안이나 ,-(이)나,as much as… (implying that the speaker thinks the amount is a lot).,…for quite a while…
